,id,state,gender,median_home_val,hvp1,pobc1,pobc2,avggift,target_d,median_household_income,ic2,ic3,ic4,ic5
0,44060,FL,M,,7,6,16,28,100.0,392,430.0,466,520.0,21975
1,96093,IL,M,537.0,0,1,89,5,7.0,365,415.0,410,473.0,19387
2,43333,FL,F,725.0,3,11,17,4,5.0,301,340.0,361,436.0,18837
3,21885,NC,M,,7,1,74,27,38.0,401,407.0,399,413.0,14014
4,190108,FL,F,995.0,0,5,6,6,5.0,252,280.0,316,348.0,17991
5,100640,IL,M,764.0,1,2,75,25,30.0,457,477.0,480,501.0,16022
6,18581,NC,female,775.0,5,0,73,4,12.0,318,364.0,380,419.0,13491
7,119038,TX,M,890.0,0,2,46,6,7.0,519,525.0,551,560.0,17872
8,173223,CA,F,,0,2,63,8,10.0,184,206.0,235,250.0,8708
10,141720,NV,F,1569.0,22,3,44,13,5.0,673,672.0,785,781.0,25775
11,186272,CA,F,3515.0,97,11,54,8,10.0,521,565.0,549,588.0,20068
12,154301,Cali,F,1026.0,1,12,52,11,10.0,459,470.0,491,496.0,13803
13,189722,AP,Male,0.0,0,0,0,5,6.0,0,0.0,0,0.0,0
14,188304,KS,F,376.0,0,1,75,10,10.0,263,303.0,287,316.0,10755@
15,73699,MI,F,890.0,1,5,53,11,15.0,463,474.0,512,523.0,9493
16,31977,FL,F,1513.0,31,3,24,18,28.0,521,599.0,615,702.0,28124
17,44336,FL,F,948.0,4,6,8,15,15.0,330,365.0,368,411.0,17728
18,127823,TX,F,258.0,0,0,94,5,6.0,64,60.0,93,74.0,4236
19,150739,CA,U,1951.0,44,10,66,9,12.0,556,578.0,619,625.0,17208
20,41384,FL,F,556.0,0,16,22,9,12.0,318,358.0,320,,11779
21,114721,OK,F,1040.0,0,2,56,11,15.0,472,609.0,579,656.0,26962
22,111795,AR,F,603.0,2,1,70,5,5.0,208,264.0,288,341.0,12038
23,64480,IN,F,526.0,1,1,80,7,10.0,277,336.0,317,370.0,12826
24,87259,MT,M,717.0,1,1,53,9,25.0,302,458.0,349,432.0,15614
25,115823,TX,M,1011.0,1,5,61,6,15.0,593,588.0,650,650.0,17606
26,95701,IL,M,1063.0,3,16,53,8,5.0,255,260.0,312,317.0,14023
27,5172,IL,M,291.0,0,5,67,10,10.0,136,168.0,180,212.0,8370
28,152486,CA,M,1538.0,11,5,49,5,5.0,271,317.0,342,393.0,15627
29,153880,WI,F,592.0,1,3,74,12,5.0,244,341.0,306,392.0,12220
30,101855,MO,M,871.0,6,0,71,7,10.0,340,385.0,365,416.0,15336
31,62932,IN,M,403.0,1,0,45,8,10.0,174,240.0,201,264.0,9704
32,125930,TX,F,715.0,1,3,88,6,7.5,339,378.0,371,396.0,12617
33,173653,HI,F,2346.0,67,5,78,15,21.0,420,446.0,468,503.0,14552
34,11011,FL,M,559.0,0,11,20,12,20.0,232,270.0,257,269.0,10511
35,116894,TX,M,,5,2,42,12,20.0,368,457.0,450,531.0,33797
36,154245,CA,F,596.0,0,23,57,16,15.0,164,168.0,181,190.0,5273
37,134773,UT,M,706.0,1,1,82,15,25.0,362,376.0,379,394.0,10420
38,26271,GA,F,878.0,30,4,55,10,16.0,310,517.0,433,588.0,22281
39,180292,WA,F,1275.0,21,6,51,6,10.0,405,453.0,500,545.0,20971
40,10145,CA,F,2362.0,74,9,61,8,5.0,613,632.0,655,678.0,21179
41,133806,ID,U,718.0,0,0,39,20,15.0,226,280.0,278,357.0,17292
42,112632,CT,M,2531.0,77,6,51,8,11.0,669,730.0,696,750.0,21094
43,143253,CA,F,2089.0,56,53,36,7,5.0,275,296.0,322,356.0,10484
44,403,AL,J,765.0,1,1,68,33,35.0,408,430.0,441,472.0,15150
45,189882,ND,F,832.0,0,1,85,10,10.0,310,338.0,348,376.0,11972
46,119570,TX,M,1458.0,8,4,56,6,10.0,299,354.0,356,446.0,19185
47,144021,CA,F,1590.0,25,57,34,13,15.0,240,238.0,262,257.0,7559
48,93356,IL,F,613.0,0,1,60,11,25.0,212,245.0,294,355.0,11792
49,24711,SC,F,477.0,0,1,80,5,10.0,256,282.0,292,316.0,10621
50,74914,IA,F,424.0,0,1,78,4,6.0,192,256.0,230,256.0,9497
51,6909,CO,M,383.0,0,0,78,13,15.0,252,256.0,359,380.0,14045
52,124543,TX,M,688.0,0,0,84,11,18.0,422,466.0,457,490.0,16561
53,163018,CA,M,3500.0,57,36,28,15,24.0,351,260.0,463,407.0,26034
54,190671,CA,F,2143.0,63,29,36,9,14.0,280,353.0,328,373.0,12935
55,33356,FL,F,625.0,3,1,47,14,20.0,246,466.0,362,536.0,19102
